I1;I2;I1MAX;I1MIN;I1VAR;I2MAX;I2MIN;I2VAR;I3;I4;I3max;I3min;I3var;I4MAX;I4MIN;I5;I6;Itotal1;Itotalmax1;Itotalmin1;Vdcmean1;Vdcmax1;Vdcmin1;Pdcmean1;IR;T;range 1;range 2;range 3;range 4;class
4.758221789;4.758221789;5.054876881;4.722425921;1.78165E-05;5.054876881;4.722425921;1.78165E-05;5.046272211;5.046272211;5.061401058;5.036020095;1.42351E-05;5.061401058;5.036020095;5.046272211;5.046272211;461.7509465;462.7898266;459.739288;516.4804356;517.0733472;513.7917738;229.2496927;888;21;0.332450959;0.332450959;1.86517E-14;0;1
3.693076369;3.693076369;3.833165808;3.672451891;4.04531E-06;3.833165808;3.672451891;4.04531E-06;3.838109447;3.838109447;3.844412663;3.833125514;3.11087E-06;3.844412663;3.833125514;3.838109447;3.838109447;426.5791882;456.458195;393.2775767;496.4376435;496.5791475;496.1609551;167.6008633;674;34;0.160713916;0.160713916;1.55431E-14;9.32587E-15;1
3.480792948;3.480792948;4.089258361;3.403061038;0.000308883;4.089258361;3.403061038;0.000308883;4.037003942;4.037003942;4.093205382;4.022822014;0.000328101;4.093205382;4.022822014;4.037003942;4.037003942;426.5186372;457.1973033;394.6202559;521.4116474;523.5114532;511.7604978;185.0832473;709;16;0.686197323;0.686197323;1.77636E-14;1.86517E-14;1
1.730744771;1.730744771;4.125640995;1.098584932;0.000362804;4.125640995;1.098584932;0.000362804;4.132442558;4.132442558;4.138285131;4.127134346;3.19842E-06;4.138285131;4.127134346;4.132442558;4.132442558;426.9815156;457.3238783;394.4023921;506.9136386;507.1465821;506.6099078;183.171304;726;27;3.027056063;3.027056063;2.08722E-14;1.33227E-14;1
1.482808306;1.482808306;1.746224518;1.458562361;0.000140803;1.746224518;1.458562361;0.000140803;1.720724496;1.720724496;1.748967388;1.709876477;0.000150069;1.748967388;1.709876477;1.720724496;1.720724496;426.5186545;457.1973209;394.6202733;511.2452102;515.6252841;498.2499449;77.36593515;301;16;0.287662156;0.287662156;9.99201E-15;6.66134E-15;1
2.147305718;2.147305718;2.331860407;2.115511634;3.9924E-06;2.331860407;2.115511634;3.9924E-06;2.334635678;2.334635678;2.338507539;2.330975373;2.36265E-06;2.338507539;2.330975373;2.334635678;2.334635678;426.8418995;456.9340717;393.9212547;496.4400573;496.8896216;495.9633129;101.9085865;410;31;0.216348773;0.216348773;1.64313E-14;7.54952E-15;1
0.34592577;0.34592577;0.60037078;0.29077303;4.07083E-06;0.60037078;0.29077303;4.07083E-06;0.603565311;0.603565311;0.604736226;0.602837191;1.55443E-07;0.604736226;0.602837191;0.603565311;0.603565311;426.9815392;457.3239021;394.402415;482.2467963;483.3335568;481.51998;25.49297801;106;27;0.30959775;0.30959775;3.10862E-15;2.77556E-15;1
-99.25685095;-99.25685095;5.272009244;-106.1995985;2.789172971;5.272009244;-106.1995985;2.789172971;5.354189122;5.354189122;5.38590718;5.27460077;0.000784348;5.38590718;5.27460077;5.354189122;5.354189122;480.6916501;481.7369374;478.7112569;505.666534;514.8458041;501.3706853;187.4040911;925;20;111.4716078;111.4716078;0;2.04281E-14;1
2.407261027;2.407261027;2.769208782;2.361050458;7.20325E-05;2.769208782;2.361050458;7.20325E-05;2.745121871;2.745121871;2.772525387;2.737416131;7.33489E-05;2.772525387;2.737416131;2.745121871;2.745121871;426.8767253;457.3892127;394.6612224;510.5790179;512.0359152;503.4252421;123.2402941;482;22;0.408158324;0.408158324;1.68754E-14;1.46549E-14;1
2.0332735;2.0332735;2.217904117;2.001118759;3.11787E-06;2.217904117;2.001118759;3.11787E-06;2.220620651;2.220620651;2.22320558;2.217285301;1.40778E-06;2.22320558;2.217285301;2.220620651;2.220620651;426.8926341;457.0696291;394.0198048;497.3466934;497.6615195;496.2576681;97.10612297;390;30;0.216785358;0.216785358;7.99361E-15;0;1
-0.168694289;-0.168694289;0.751964158;-0.374291325;5.9623E-05;0.751964158;-0.374291325;5.9623E-05;0.752112608;0.752112608;0.754637747;0.750838485;7.97105E-07;0.754637747;0.750838485;0.752112608;0.752112608;426.8767124;457.3891997;394.6612096;493.1544545;493.860321;490.9382152;32.2104367;132;22;1.126255483;1.126255483;4.4964E-15;3.10862E-15;1
1.94202174;1.94202174;2.993158063;1.685489587;6.84269E-05;2.993158063;1.685489587;6.84269E-05;2.994483404;2.994483404;2.998416673;2.990617418;2.08003E-06;2.998416673;2.990617418;2.994483404;2.994483404;426.9688837;457.2664756;394.316658;503.3341368;503.6020724;502.3870667;132.1328921;526;28;1.307668476;1.307668476;1.68754E-14;7.10543E-15;1
